x,y,z,flag
0,0,2,g
0,1,2,g
1,1,2,g
1,2,2,g
0,2,2,g
0,3,2,g
0,3,1,l
0,2,2,g
1,2,2,g
1,1,2,g
2,1,2,g
2,1,2,r
1,1,2,g
1,2,2,g
1,3,2,g
1,4,2,g
1,4,2,r
1,5,2,g
2,5,2,g
2,5,2,r
3,5,2,g
3,5,2,r
4,5,2,g
4,4,2,g
4,4,2,r
3,4,3,g
3,4,3,r
3,3,2,g
2,3,2,g
2,3,1.5,u
3,3,2,g
3,4,3,g
3,4,3,r
4,4,2,g
4,3,2,g
4,3,2,r
4,2,2,g
4,2,2,r
5,2,3,g
5,2,3,r
5,1,2,g
5,0,2,g
5,0,1,l
5,1,2,g
5,2,3,g
5,2,3,r
4,2,2,g
4,3,2,g
4,4,2,g
3,4,3,g
3,3,2,g
2,3,2,g
2,3,1.5,u
3,3,2,g
3,4,3,g
3,5,2,g
2,5,2,g
1,5,2,g
1,4,2,g
1,4,2,r
1,5,2,g
2,5,2,g
3,5,2,g
4,5,2,g
4,4,2,g
4,3,2,g
5,3,3,g
5,3,3,r
5,4,2,g
5,5,2,g
5,4,2,g
5,3,3,g
4,3,2,g
4,4,2,g
3,4,3,g
3,3,2,g
2,3,2,g
2,3,0.5,s
